City,Country,latitude,longitude,n_incidents,n_kill
Bilbao,Spain,43.258434,-2.921819,337,106
Providence,United States,41.823875,-71.411994,1,0
Eibar,Spain,43.18418,-2.473289,27,7
Lerida,Spain,41.614152,0.625783,1,0
Selcuk,Turkey,37.950322,27.373266,1,0
Beverly Hills,United States,34.081074,-118.394081,4,0
Clady,United Kingdom,54.794884,-7.537385,3,4
Pittsburgh,United States,40.438335,-79.997459,5,0
Fayetteville,United States,33.44865,-84.454564,7,1
Hoboken,United States,40.74617,-74.032814,6,0
Hammond,United States,41.583193,-87.499736,1,0
Pontiac,United States,42.636876,-83.288425,1,0
Phnom Penh,Cambodia,11.558831,104.917445,57,102
Columbus,United States,32.462925,-84.987629,12,2
Kannapolis,United States,35.487474,-80.622003,1,0
Kinawley,United Kingdom,54.22641,-7.649053,4,2
Newry,United Kingdom,54.183052,-6.341388,112,74
Edendork,United Kingdom,54.531707,-6.737144,1,1
Jerusalem,Israel,31.771599,35.2034,636,531
Albany,United States,42.651445,-73.755254,2,0
Strabane,United Kingdom,54.819164,-7.467909,65,26
Lambeg,United Kingdom,54.530989,-6.02939,2,2
Tampa,United States,27.94653,-82.459269,10,3
Opole,Poland,50.666667,17.933333,1,0
Nassau county,United States,40.654614,-73.559413,1,0
Montjuic,Spain,41.400635,2.150913,1,0
Lurgan,United Kingdom,54.463367,-6.328597,71,41
Boise,United States,43.618518,-116.214619,4,0
Wellesley,United States,42.29776,-71.289744,1,0
Deer Park,United States,40.75815,-73.327739,1,0
Sydney,Australia,-33.873651,151.20689,29,8
Shiraz,Iran,29.591325,52.58361,18,20
Shakopee,United States,44.79808,-93.526664,1,0
Caledon,United Kingdom,54.351322,-6.837455,2,2
"Ballymurphy, Belfast",United Kingdom,54.607712,-5.95621,6,6
Urnieta,Spain,43.2482,-1.990517,3,2
Panama City,Panama,8.994269,-79.518792,86,7
Abadiano,Spain,43.15,-2.610278,1,0
Zarate,Argentina,-34.098808,-59.032291,2,0
Buffalo,United States,42.88544,-78.878464,1,0
Newtownabbey,United Kingdom,54.684823,-5.965868,36,20
Gaza,West Bank and Gaza Strip,31.502407,34.459743,341,275
Keady,United Kingdom,54.250039,-6.703625,15,16
Vienna,Austria,48.208174,16.373819,75,24
Castlewellan,United Kingdom,54.255696,-5.948804,13,7
Jackson,United States,32.302091,-90.185366,7,0
Kladow,West Germany (FRG),52.50153,13.401851,1,1
Stewartstown,United Kingdom,54.577389,-6.677339,8,5
Ravenstein,Netherlands,51.794294,5.64916,1,0
Hamburg,West Germany (FRG),53.553813,9.991586,83,6
Armagh,United Kingdom,54.347539,-6.656108,125,84
Cullyhanna,United Kingdom,54.131402,-6.586387,9,7
Newtownbutler,United Kingdom,54.184008,-7.360209,11,9
Manchester,United States,42.991175,-71.463089,29,23
Moira,United Kingdom,54.479875,-6.228448,6,6
Aldershot,United Kingdom,51.248429,-0.755979,7,14
New Delhi,India,28.585836,77.153336,158,381
Frevagh,United Kingdom,54.365171,-8.036373,1,1
Middletown,United Kingdom,54.293235,-6.842351,7,6
Coalisland,United Kingdom,54.536706,-6.70361,23,16
Gava,Spain,41.303168,2.003213,2,0
Urguizo,Spain,43.174382,-2.775258,1,0
Unye,Turkey,41.127098,37.287124,1,3
Ballykelly,United Kingdom,55.043617,-7.023927,3,18
"Andersontown, Belfast",United Kingdom,54.607712,-5.95621,2,2
Ottawa,Canada,45.42153,-75.697193,19,5
Montreal,Canada,45.50867,-73.553992,15,16
Rosemount,United Kingdom,55.011562,-7.312045,2,2
Talamanca,Spain,41.735443,1.977921,1,0
Ballymoney,United Kingdom,55.071136,-6.513154,13,5
Bellflower,United States,33.889332,-118.125305,1,0
Newtownhamilton,United Kingdom,54.192934,-6.576051,22,19
Carrickfergus,United Kingdom,54.713641,-5.808233,12,5
Isasondo,Spain,43.066932,-2.167393,4,2
Tarrasa,Spain,41.560953,2.01044,6,1
Karlsruhe,West Germany (FRG),49.008085,8.403756,12,4
Greenisland,United Kingdom,54.69212,-5.863265,4,3
Jericho,United States,40.791005,-73.538134,22,18
Finaghy,United Kingdom,54.607712,-5.95621,9,10
Paris,France,48.856644,2.34233,613,282
Ciudadela,Argentina,-34.68631,-58.528473,3,0
Lod,Israel,32.004361,34.888229,7,28
Galdacano,Spain,43.230556,-2.845833,18,8
La Victoria,Venezuela,10.227716,-67.333485,8,4
Rosslea,United Kingdom,54.238631,-7.170908,12,11
Pleiku,South Vietnam,13.977956,108.002298,1,81
Craigavon,United Kingdom,54.446968,-6.39292,24,16
Dungiven,United Kingdom,54.927953,-6.925873,7,5
Ardoyne,United Kingdom,54.607712,-5.95621,1,2
Portadown,United Kingdom,54.42071,-6.443767,62,40
Silverbridge,United Kingdom,54.101529,-6.526442,7,5
Bogota,Colombia,4.594635,-74.093737,989,826
Dundonald,United Kingdom,54.595455,-5.797763,6,3
Claudy,United Kingdom,54.910864,-7.15523,6,13
Trieste,Italy,45.65363,13.778407,6,0
Lisnaskea,United Kingdom,54.253718,-7.44106,18,10
Abadan,Iran,30.345997,48.287136,11,429
Enniskillen,United Kingdom,54.345417,-7.636355,20,24
Creggan,United Kingdom,55.011562,-7.312045,9,10
Dungannon,United Kingdom,54.50853,-6.763131,62,41
